Month,Province,Vehicle_type,Cause,Weather_condition,Slope_description
December,Surat Thani,4-wheel pickup truck,falling asleep,clear,no slope
December,Nonthaburi,7-10-wheel truck,vehicle equipment failure,clear,other
December,Phatthalung,private/passenger car,driving under the influence of alcohol,clear,no slope
December,Khon Kaen,4-wheel pickup truck,speeding,clear,no slope
December,Phrae,motorcycle,speeding,clear,no slope
December,Suphan Buri,motorcycle,speeding,clear,no slope
December,Chon Buri,motorcycle,driving under the influence of alcohol,clear,no slope
December,Prachuap Khiri Khan,private/passenger car,speeding,clear,no slope
December,Saraburi,private/passenger car,speeding,clear,no slope
December,Nakhon Si Thammarat,4-wheel pickup truck,speeding,rainy,no slope
December,Phetchaburi,4-wheel pickup truck,speeding,clear,no slope
December,Saraburi,private/passenger car,cutting in closely by people/vehicles/animals,clear,other
December,Udon Thani,motorcycle,driving under the influence of alcohol,dark,no slope
December,Chon Buri,private/passenger car,speeding,clear,no slope
December,Chiang Mai,private/passenger car,speeding,clear,no slope
December,Nan,motorcycle,driving under the influence of alcohol,clear,no slope
December,Nong Khai,4-wheel pickup truck,speeding,clear,no slope
December,Kamphaeng Phet,private/passenger car,speeding,clear,other
December,Pathum Thani,motorcycle,driving under the influence of alcohol,dark,no slope
December,Chiang Mai,motorcycle,driving under the influence of alcohol,clear,no slope
December,Chiang Mai,4-wheel pickup truck,speeding,clear,no slope
December,Lampang,bicycle,speeding,clear,no slope
December,Nong Bua Lam Phu,4-wheel pickup truck,driving under the influence of alcohol,clear,no slope
December,Chaiyaphum,private/passenger car,speeding,clear,no slope
December,Chiang Rai,4-wheel pickup truck,cutting in closely by people/vehicles/animals,clear,no slope
December,Buri Ram,4-wheel pickup truck,speeding,clear,other
December,Saraburi,motorcycle,speeding,clear,no slope
December,Chiang Mai,motorized tricycle,speeding,clear,no slope
December,Phatthalung,motorcycle,cutting in closely by people/vehicles/animals,clear,other
December,Phrae,private/passenger car,speeding,clear,no slope
December,Chiang Mai,motorcycle,driving under the influence of alcohol,clear,no slope
December,Chiang Mai,passenger pickup truck,speeding,clear,no slope
December,Chiang Mai,motorcycle,driving under the influence of alcohol,clear,slope area
